"","Grid","Habitat","Season","Year","mean","se","lci","uci","Species"
"25","B1","Bottomland","Spring","2018",6.18604391253533,1.5230705500129,3.14260669812565,9.1074170391626,"Raccoon"
"26","B2","Bottomland","Spring","2018",2.76625105470151,0.938770676241905,1.04504901558187,4.67148081847971,"Raccoon"
"27","B3","Bottomland","Spring","2018",8.53744893287184,1.82142167345899,5.0405981320249,12.120744255771,"Raccoon"
"28","B4","Bottomland","Spring","2018",10.6333488187821,1.93870272205811,7.02320670406636,14.722552903104,"Raccoon"
"29","B5","Bottomland","Spring","2018",8.95983883937739,1.846058975793,5.32662559884352,12.4225718136694,"Raccoon"
"30","B6","Bottomland","Spring","2018",6.10431737105608,1.54721385111478,3.05325267690425,9.08439036118516,"Raccoon"
"31","P1","Pine","Spring","2018",3.97880007284909,1.2763945370918,1.56107244526692,6.53542427063521,"Raccoon"
"32","P2","Pine","Spring","2018",6.49710654752818,1.73018177002988,2.93173856169078,9.7103315364118,"Raccoon"
"33","P3","Pine","Spring","2018",5.2737611882153,1.52790016509107,2.00978154535408,8.20442424337086,"Raccoon"
"34","P4","Pine","Spring","2018",0.749071650015387,0.397169142150364,-0.0494968937392361,1.50647275503543,"Raccoon"
"35","P5","Pine","Spring","2018",2.79661785206758,1.18123281018529,0.420096378077553,5.04454061629053,"Raccoon"
"36","P6","Pine","Spring","2018",0.372957947094034,0.289157133646589,-0.241960311290136,0.924165459406764,"Raccoon"
"37","R1","Riparian","Spring","2018",0.607138307939728,0.44836271184387,-0.286252924199976,1.49812321393983,"Raccoon"
"38","R2","Riparian","Spring","2018",1.18324736007365,0.638807197932778,-0.0917104926300938,2.38031670036245,"Raccoon"
"39","R3","Riparian","Spring","2018",5.92135160443465,1.72006938910788,2.63153849132375,9.25488216972704,"Raccoon"
"40","R4","Riparian","Spring","2018",4.78088948870226,1.64890788684411,1.56256091363955,8.01147398147609,"Raccoon"
"41","R5","Riparian","Spring","2018",2.99715923817648,1.01090971141316,0.984301161211496,4.94209915360312,"Raccoon"
"42","R6","Riparian","Spring","2018",0.583525986577074,0.452713095349049,-0.322593397639598,1.45147188834662,"Raccoon"
"43","W1","Wetland","Spring","2018",0.52317846067678,0.421032216781149,-0.282087353986395,1.36982999555272,"Raccoon"
"44","W2","Wetland","Spring","2018",7.16565201739617,2.16512618762738,3.10760067832161,11.389194698853,"Raccoon"
"45","W3","Wetland","Spring","2018",2.63551658403292,0.949604184775605,0.659369953918597,4.36921556068908,"Raccoon"
"46","W4","Wetland","Spring","2018",1.57823003641086,0.74809319149254,0.108226851977313,3.05032125901761,"Raccoon"
"47","W5","Wetland","Spring","2018",1.07234617551556,0.605217686138361,-0.1367122100733,2.22937801536091,"Raccoon"
"48","W6","Wetland","Spring","2018",2.57868366241866,1.40871345699073,-0.0315829611125033,5.25691360333911,"Raccoon"
"49","B1","Bottomland","Spring","2019",2.97962160077176,0.646043369675576,1.65142432614829,4.24005744087893,"Raccoon"
"50","B2","Bottomland","Spring","2019",5.95208861612106,0.916220611760438,4.03123729695233,7.65246189444199,"Raccoon"
"51","B3","Bottomland","Spring","2019",5.70104336455186,0.939149049466564,3.86123993034543,7.57416001403323,"Raccoon"
"52","B4","Bottomland","Spring","2019",1.49958221684025,0.435070122212954,0.643223061651074,2.33698215295298,"Raccoon"
"53","B5","Bottomland","Spring","2019",0.980839700767557,0.362457335816399,0.284446072208421,1.70461771586982,"Raccoon"
"54","B6","Bottomland","Spring","2019",5.84053709277539,0.906293481343595,4.12231652746386,7.65692933006415,"Raccoon"
"55","P1","Pine","Spring","2019",2.58326272049326,0.768763144882438,1.0701641032563,4.12211996112772,"Raccoon"
"56","P2","Pine","Spring","2019",1.6878768924415,0.497490501237227,0.706459756964592,2.63462341742435,"Raccoon"
"57","P3","Pine","Spring","2019",0.244794221230962,0.144675135580573,-0.0435616325373037,0.519689663096321,"Raccoon"
"58","P4","Pine","Spring","2019",0.253786375243517,0.151297603832124,-0.0408847436156934,0.563446761098066,"Raccoon"
"59","P5","Pine","Spring","2019",0.502478418593872,0.210818215249596,0.0752625332760258,0.896105118672122,"Raccoon"
"60","P6","Pine","Spring","2019",1.21123135189413,0.46649146634054,0.33794080719529,2.11020463961001,"Raccoon"
"61","R1","Riparian","Spring","2019",1.10813243681787,0.678562017822498,-0.179424321818247,2.47109381735967,"Raccoon"
"62","R2","Riparian","Spring","2019",5.10108668114793,1.20201887284706,2.78068132993292,7.55578815822757,"Raccoon"
"63","R3","Riparian","Spring","2019",5.09788123640301,1.19792729808688,2.72523613251226,7.3708544625413,"Raccoon"
"64","R4","Riparian","Spring","2019",2.43974722118568,0.595815716697205,1.26050743217351,3.5783217827225,"Raccoon"
"65","R5","Riparian","Spring","2019",0.798401931135618,0.344267053551451,0.144944130317362,1.44609066910695,"Raccoon"
"66","R6","Riparian","Spring","2019",0.406688269414253,0.238316529369045,-0.0386568770457204,0.865027937310546,"Raccoon"
"67","W1","Wetland","Spring","2019",2.18312995756393,0.964833150965549,0.387687775688833,4.08893946135862,"Raccoon"
"68","W2","Wetland","Spring","2019",2.95733507816705,0.704631894384334,1.59898416039976,4.30649354632725,"Raccoon"
"69","W3","Wetland","Spring","2019",0.310439891050424,0.229967901480297,-0.140257859362971,0.762002720972453,"Raccoon"
"70","W4","Wetland","Spring","2019",0,0,0,0,"Raccoon"
"71","W5","Wetland","Spring","2019",0.646313247448248,0.330577296061628,-0.0265580977320554,1.29046417104168,"Raccoon"
"72","W6","Wetland","Spring","2019",3.51268370182614,0.924047202956691,1.71681943169704,5.40689872556485,"Raccoon"
"73","B1","Bottomland","Fall","2020",1.42851181449636,1.14229813979201,-0.824293719425564,3.56026704068513,"Raccoon"
"74","B2","Bottomland","Fall","2020",5.11168613082239,2.54311294416154,0.0361791470662262,10.0641059455732,"Raccoon"
"75","B3","Bottomland","Fall","2020",2.66599860884588,1.62942224418675,-0.670573362057974,5.8534273348429,"Raccoon"
"76","B4","Bottomland","Fall","2020",0,0,0,0,"Raccoon"
"77","B5","Bottomland","Fall","2020",0,0,0,0,"Raccoon"
"78","B6","Bottomland","Fall","2020",0,0,0,0,"Raccoon"
"79","P2","Pine","Fall","2020",3.08038038194855,1.94911370437937,-0.713616884556561,6.81915318673481,"Raccoon"
"80","P3","Pine","Fall","2020",0,0,0,0,"Raccoon"
"81","P4","Pine","Fall","2020",3.11959342246946,2.06250551901205,-0.710651557350797,7.20068662013186,"Raccoon"
"82","P5","Pine","Fall","2020",1.90097659622938,1.7361412387687,-1.5081793184092,5.16537150727856,"Raccoon"
"83","P6","Pine","Fall","2020",1.89021114243555,1.69929788868929,-1.374471201587,5.13697579050537,"Raccoon"
"84","P7","Pine","Fall","2020",3.32137567982322,1.69461004965508,0.121503194429855,6.64626831045615,"Raccoon"
"85","R1","Riparian","Fall","2020",0.661248765490458,0.603879501857891,-0.521822848841637,1.83256993269366,"Raccoon"
"86","R2","Riparian","Fall","2020",7.67523187378979,3.23766540769674,1.45246534649102,14.0284217256652,"Raccoon"
"87","R3","Riparian","Fall","2020",2.5420455855047,2.08697087007235,-1.41725675866759,6.4500906778392,"Raccoon"
"88","R4","Riparian","Fall","2020",0,0,0,0,"Raccoon"
"89","R5","Riparian","Fall","2020",0,0,0,0,"Raccoon"
"90","R6","Riparian","Fall","2020",0,0,0,0,"Raccoon"
"91","W1","Wetland","Fall","2020",4.66240682058986,3.01001946122153,-1.21863238805487,10.7385132733257,"Raccoon"
"92","W2","Wetland","Fall","2020",8.03619641816011,3.79911269180451,0.636168104768096,15.2661105992779,"Raccoon"
"93","W3","Wetland","Fall","2020",0,0,0,0,"Raccoon"
"94","W4","Wetland","Fall","2020",0,0,0,0,"Raccoon"
"95","W5","Wetland","Fall","2020",4.7908641132109,3.16960464871948,-1.56954103429297,10.8596758336591,"Raccoon"
"96","W6","Wetland","Fall","2020",0,0,0,0,"Raccoon"
"97","B1","Bottomland","Spring","2020",0.963319820471362,0.756596939468955,-0.444163755101233,2.41500038246301,"Raccoon"
"98","B2","Bottomland","Spring","2020",14.3746988645624,3.02430918865114,8.09730462113411,20.1686988586444,"Raccoon"
"99","B3","Bottomland","Spring","2020",6.84820719819485,2.21647979677517,2.58730068697054,11.2625103480282,"Raccoon"
"100","B4","Bottomland","Spring","2020",0,0,0,0,"Raccoon"
"101","B5","Bottomland","Spring","2020",0,0,0,0,"Raccoon"
"102","B6","Bottomland","Spring","2020",3.17148217569694,1.5058092719404,0.264906146095395,6.18510597370548,"Raccoon"
"103","P2","Pine","Spring","2020",2.94430849540863,1.6807482938236,-0.163427515304602,6.34130740872677,"Raccoon"
"104","P3","Pine","Spring","2020",0.518972748504417,0.43790265593211,-0.329131333637498,1.38415918624661,"Raccoon"
"105","P4","Pine","Spring","2020",0,0,0,0,"Raccoon"
"106","P5","Pine","Spring","2020",0,0,0,0,"Raccoon"
"107","P6","Pine","Spring","2020",1.48254510939523,1.25412503400726,-1.01739753863914,3.99516949059475,"Raccoon"
"108","P7","Pine","Spring","2020",5.12205412729494,1.97096210850594,1.31092299867912,9.28005268257105,"Raccoon"
"109","R1","Riparian","Spring","2020",1.72827537526994,0.980966959907207,-0.179800013789064,3.64390253096424,"Raccoon"
"110","R2","Riparian","Spring","2020",6.48702572443895,3.05141611833161,0.411458211714153,12.4855250685884,"Raccoon"
"111","R3","Riparian","Spring","2020",0.824119781408219,0.73155612324222,-0.562181776971373,2.39496167662236,"Raccoon"
"112","R4","Riparian","Spring","2020",1.75241170894325,0.975049418216125,-0.244593596075619,3.64000935282811,"Raccoon"
"113","R5","Riparian","Spring","2020",3.23388865983194,2.08707921399319,-0.889640441966052,7.38889021409593,"Raccoon"
"114","R6","Riparian","Spring","2020",0.850194099674761,0.707406230130559,-0.543417832327838,2.213281101227,"Raccoon"
"115","W1","Wetland","Spring","2020",3.73402927408302,2.15179339044351,-0.217240785338127,7.91817876292398,"Raccoon"
"116","W2","Wetland","Spring","2020",1.51100364766111,0.941420584436661,-0.321126943441244,3.4499165618108,"Raccoon"
"117","W3","Wetland","Spring","2020",0.768447229101856,0.66815599043425,-0.45689681265291,2.03953944308445,"Raccoon"
"118","W4","Wetland","Spring","2020",0,0,0,0,"Raccoon"
"119","W5","Wetland","Spring","2020",0,0,0,0,"Raccoon"
"120","W6","Wetland","Spring","2020",0,0,0,0,"Raccoon"
"121","B1","Bottomland","Fall","2021",14.7553057552211,5.15846805190939,4.84570436509096,24.780699274524,"Raccoon"
"122","B2","Bottomland","Fall","2021",25.165762853672,6.5159954345645,12.4719456249875,37.4642215395725,"Raccoon"
"123","B3","Bottomland","Fall","2021",11.902694509598,4.75921231278165,2.76547393415652,21.3710784882198,"Raccoon"
"124","B4","Bottomland","Fall","2021",3.87963719726456,2.45646568817409,-0.971240546014465,8.46083691808833,"Raccoon"
"125","B5","Bottomland","Fall","2021",5.75369407548127,2.99430176677499,0.004732943433597,11.9512153387405,"Raccoon"
"126","B6","Bottomland","Fall","2021",11.665912561111,4.91113381278154,2.7531885762083,21.9638716456504,"Raccoon"
"127","P2","Pine","Fall","2021",0,0,0,0,"Raccoon"
"128","P3","Pine","Fall","2021",0,0,0,0,"Raccoon"
"129","P4","Pine","Fall","2021",0,0,0,0,"Raccoon"
"130","P5","Pine","Fall","2021",5.67218103572515,3.61209022393093,-2.00242593759049,12.3696347866217,"Raccoon"
"131","P6","Pine","Fall","2021",7.26720742826639,3.80493568081318,-0.350752366513762,14.5139582383723,"Raccoon"
"132","P7","Pine","Fall","2021",0,0,0,0,"Raccoon"
"133","R1","Riparian","Fall","2021",3.7664405961982,3.22079448755565,-2.80637311575214,10.0351097430748,"Raccoon"
"134","R2","Riparian","Fall","2021",8.09801533716672,4.71197243772315,-1.19704716057064,17.4859945228139,"Raccoon"
"135","R3","Riparian","Fall","2021",3.48786318886986,3.19695977924955,-2.75877479877729,9.81818079263796,"Raccoon"
"136","R4","Riparian","Fall","2021",9.07476579411212,4.78566612415313,0.0468068758951321,18.5675662758332,"Raccoon"
"137","R5","Riparian","Fall","2021",5.38206836441044,3.54959034100107,-1.23997937041326,12.601285475147,"Raccoon"
"138","R6","Riparian","Fall","2021",0,0,0,0,"Raccoon"
"139","W1","Wetland","Fall","2021",4.48125633278362,4.08585682879048,-3.869137223642,13.0445090942521,"Raccoon"
"140","W2","Wetland","Fall","2021",9.31929606826103,5.14170551677891,-1.0384599949489,19.106142895723,"Raccoon"
"141","W3","Wetland","Fall","2021",0,0,0,0,"Raccoon"
"142","W4","Wetland","Fall","2021",0,0,0,0,"Raccoon"
"143","W5","Wetland","Fall","2021",0,0,0,0,"Raccoon"
"144","W6","Wetland","Fall","2021",6.83164762356521,4.64083220346453,-2.54291176317771,15.6142304639001,"Raccoon"
"145","B1","Bottomland","Spring","2021",4.6138385006787,1.85185493574761,0.896505218329198,8.32709520704659,"Raccoon"
"146","B2","Bottomland","Spring","2021",6.09730281550869,1.93766123729826,2.14844465919472,9.9512667880866,"Raccoon"
"147","B3","Bottomland","Spring","2021",0.989053067399572,0.757191357058054,-0.466737865343415,2.50628564087012,"Raccoon"
"148","B4","Bottomland","Spring","2021",2.85808217094547,1.25787547195131,0.343284909029909,5.26351388523465,"Raccoon"
"149","B5","Bottomland","Spring","2021",2.86505873045981,1.31832626119544,0.338899444253182,5.52185388783741,"Raccoon"
"150","B6","Bottomland","Spring","2021",5.99686221584289,2.12850042842231,2.00054472468756,10.1718044782415,"Raccoon"
"151","P2","Pine","Spring","2021",3.52582474510488,1.77176336209648,0.107729879226608,7.12723799275838,"Raccoon"
"152","P3","Pine","Spring","2021",3.055100968381,1.42614757848876,0.446401235430101,5.90416740039324,"Raccoon"
"153","P4","Pine","Spring","2021",2.49060663087945,1.40192286433062,-0.176444833890642,5.07956586414954,"Raccoon"
"154","P5","Pine","Spring","2021",3.54316207749486,1.47978557858619,0.727982845698369,6.57159404567885,"Raccoon"
"155","P6","Pine","Spring","2021",6.58565698412524,2.28540561413659,1.92528932126901,10.9884329823054,"Raccoon"
"156","P7","Pine","Spring","2021",1.03738459462735,0.609773838271496,-0.191980959122385,2.19266664701589,"Raccoon"
"157","R1","Riparian","Spring","2021",5.06793608351276,2.39975135340608,0.417652453889925,9.59183962693319,"Raccoon"
"158","R2","Riparian","Spring","2021",8.31984950644699,2.65706671604374,3.23805727959072,13.5545491173123,"Raccoon"
"159","R3","Riparian","Spring","2021",4.10760200358707,2.17688089878471,-0.0920526114510006,8.38738303468995,"Raccoon"
"160","R4","Riparian","Spring","2021",6.64039983155878,2.47694531781545,2.08587292816327,11.3695625436547,"Raccoon"
"161","R5","Riparian","Spring","2021",5.07171925723384,2.36434334827947,0.218807043582126,9.82723968268753,"Raccoon"
"162","R6","Riparian","Spring","2021",0.859451216428995,0.699978044677205,-0.483439843838305,2.20008793363962,"Raccoon"
"163","W1","Wetland","Spring","2021",7.90898536728672,3.38333341527621,1.22483576695519,14.5189663032458,"Raccoon"
"164","W2","Wetland","Spring","2021",2.28284928449499,1.20147638155864,-0.299477259339398,4.40051484687857,"Raccoon"
"165","W3","Wetland","Spring","2021",2.31829640610508,1.13728398530366,0.103941299964442,4.46705716759452,"Raccoon"
"166","W4","Wetland","Spring","2021",0,0,0,0,"Raccoon"
"167","W5","Wetland","Spring","2021",3.71454311198702,2.18864309822852,-0.641056685161946,7.74849733548219,"Raccoon"
"168","W6","Wetland","Spring","2021",4.43579067026119,2.35103469553023,-0.247746749114152,8.90955112117807,"Raccoon"
"169","B1","Bottomland","Spring","2022",0.467624163581844,0.225160527299667,0.0512228382740341,0.923501633576992,"Raccoon"
"170","B2","Bottomland","Spring","2022",0.465716286098935,0.21702018989179,0.00699731351380306,0.876315613641286,"Raccoon"
"171","B3","Bottomland","Spring","2022",0.636452598760046,0.301658429715173,0.0383363323073024,1.22870073764852,"Raccoon"
"172","B4","Bottomland","Spring","2022",0.915146338290751,0.307276713830833,0.324368052378013,1.50493432459969,"Raccoon"
"173","B5","Bottomland","Spring","2022",0.458967784261324,0.20569448738545,0.0798592080340906,0.876051970014445,"Raccoon"
"174","B6","Bottomland","Spring","2022",2.40760135987652,0.560807297020622,1.37002074497156,3.53569751168214,"Raccoon"
"175","P2","Pine","Spring","2022",0.64100394671161,0.376574430878256,-0.0947596094824273,1.38990316146457,"Raccoon"
"176","P3","Pine","Spring","2022",0,0,0,0,"Raccoon"
"177","P4","Pine","Spring","2022",0.239825696261154,0.119802126884186,0.00977494439908724,0.47601897678036,"Raccoon"
"178","P5","Pine","Spring","2022",0.921859699231053,0.237048033613628,0.46812866008721,1.38591816905252,"Raccoon"
"179","P6","Pine","Spring","2022",1.14106675201333,0.272317384103154,0.587234720878176,1.67728529466529,"Raccoon"
"180","P7","Pine","Spring","2022",0.459982270807603,0.179564609638659,0.104276799057975,0.793117327223981,"Raccoon"
"181","R1","Riparian","Spring","2022",0,0,0,0,"Raccoon"
"182","R2","Riparian","Spring","2022",2.93937420437371,0.751444942958777,1.47408300321503,4.38862437916679,"Raccoon"
"183","R3","Riparian","Spring","2022",2.19725366137784,0.684648602562177,0.906890659086823,3.55584780607847,"Raccoon"
"184","R4","Riparian","Spring","2022",0.386336717548286,0.208067513575712,0.000672197332468726,0.804919225802519,"Raccoon"
"185","R5","Riparian","Spring","2022",0,0,0,0,"Raccoon"
"186","R6","Riparian","Spring","2022",0.377545358098437,0.212283585212655,-0.0311602773593356,0.822722167249423,"Raccoon"
"187","W1","Wetland","Spring","2022",0.29794402192705,0.1975417419143,-0.0969696994389753,0.667609625126193,"Raccoon"
"188","W2","Wetland","Spring","2022",0,0,0,0,"Raccoon"
"189","W3","Wetland","Spring","2022",0,0,0,0,"Raccoon"
"190","W4","Wetland","Spring","2022",0,0,0,0,"Raccoon"
"191","W5","Wetland","Spring","2022",0,0,0,0,"Raccoon"
"192","W6","Wetland","Spring","2022",1.78376332294738,0.650230009422159,0.53183618981794,3.06673469102392,"Raccoon"
"193","B1","Bottomland","Spring","2017",0,0,0,0,"Opossum"
"194","B2","Bottomland","Spring","2017",8.17163613923654,5.19075991147773,-1.9369218207355,19.19104117148,"Opossum"
"195","B3","Bottomland","Spring","2017",4.52785489734179,2.76063135245475,-1.16879292196507,9.90322578380142,"Opossum"
"196","B4","Bottomland","Spring","2017",13.0288500582212,6.04317538145673,1.40883949493156,26.2142243963221,"Opossum"
"197","B5","Bottomland","Spring","2017",8.21647479027397,5.28990262009128,-2.29326651987407,18.6976730008124,"Opossum"
"198","B6","Bottomland","Spring","2017",10.7967244506975,5.62378579983407,-0.0103703651379488,22.1422595195991,"Opossum"
"199","P1","Pine","Spring","2017",8.60676832745889,3.81588461849833,1.50135330729823,16.1034671795563,"Opossum"
"200","P2","Pine","Spring","2017",1.18040163836886,1.01124972614949,-0.81732241518002,3.1899641074135,"Opossum"
"201","P3","Pine","Spring","2017",1.18568402112485,1.01319764104951,-0.785560054134116,3.17646349754877,"Opossum"
"202","P4","Pine","Spring","2017",1.21427389846746,1.02103558232701,-0.801809284937603,3.26113874300054,"Opossum"
"203","P5","Pine","Spring","2017",0,0,0,0,"Opossum"
"204","P6","Pine","Spring","2017",0,0,0,0,"Opossum"
"205","R1","Riparian","Spring","2017",4.13150970753473,3.29343523783225,-2.15311804336631,10.9694940326636,"Opossum"
"206","R2","Riparian","Spring","2017",11.761299097645,5.51742050882019,1.23349678984063,22.8985072980753,"Opossum"
"207","R3","Riparian","Spring","2017",9.16723205361761,5.56704446653333,-2.0025055056256,19.5239353941386,"Opossum"
"208","R4","Riparian","Spring","2017",7.64878727486795,4.50558217657413,-0.829816263622381,16.482532002318,"Opossum"
"209","R5","Riparian","Spring","2017",3.79863438198927,3.15500999849297,-2.56175884274174,10.1589886731063,"Opossum"
"210","R6","Riparian","Spring","2017",9.03651031136027,5.64308915838078,-1.81425209297554,19.678153529027,"Opossum"
"211","W1","Wetland","Spring","2017",2.01827924109804,1.80823335877101,-1.56929887732813,5.62531803126051,"Opossum"
"212","W2","Wetland","Spring","2017",0,0,0,0,"Opossum"
"213","W3","Wetland","Spring","2017",0,0,0,0,"Opossum"
"214","W4","Wetland","Spring","2017",0,0,0,0,"Opossum"
"215","W5","Wetland","Spring","2017",2.08717466554136,1.67385135594321,-1.1433092393424,5.43256949958199,"Opossum"
"216","W6","Wetland","Spring","2017",2.07008963544178,1.74980367565216,-1.22547439839217,5.36261646355254,"Opossum"
"217","B1","Bottomland","Spring","2018",8.016363506072,6.94946039649286,-6.23855558107147,21.8385919889715,"Opossum"
"218","B2","Bottomland","Spring","2018",25.9868616551096,11.0324938165803,3.92746826194412,47.9372971137373,"Opossum"
"219","B3","Bottomland","Spring","2018",30.4781013514066,12.9110957344034,5.00684328203696,54.7506733492293,"Opossum"
"220","B4","Bottomland","Spring","2018",22.4826365607384,11.0078564584599,1.19731615632152,43.1797303185217,"Opossum"
"221","B5","Bottomland","Spring","2018",25.0123717147557,10.9893962411008,4.34721765328205,47.3680757978611,"Opossum"
"222","B6","Bottomland","Spring","2018",0,0,0,0,"Opossum"
"223","P1","Pine","Spring","2018",1.67845058598223,1.44763871638642,-1.18550985377634,4.58681242353765,"Opossum"
"224","P2","Pine","Spring","2018",0,0,0,0,"Opossum"
"225","P3","Pine","Spring","2018",0,0,0,0,"Opossum"
"226","P4","Pine","Spring","2018",0,0,0,0,"Opossum"
"227","P5","Pine","Spring","2018",5.15236775812964,4.75469169956629,-3.94374163170194,14.3925671505134,"Opossum"
"228","P6","Pine","Spring","2018",1.57429605905621,1.46203638523457,-1.40256390245778,4.38313363161016,"Opossum"
"229","R1","Riparian","Spring","2018",19.1204886137282,10.2998277419505,-0.703049314370252,38.9176647484402,"Opossum"
"230","R2","Riparian","Spring","2018",10.4480699804433,6.59673201521608,-2.34935917324555,23.8827521635984,"Opossum"
"231","R3","Riparian","Spring","2018",5.17384283303958,4.67883845406663,-4.1277467320074,14.6512921943132,"Opossum"
"232","R4","Riparian","Spring","2018",48.0731754223097,15.3867246971868,19.4877158603413,78.1027957738297,"Opossum"
"233","R5","Riparian","Spring","2018",0,0,0,0,"Opossum"
"234","R6","Riparian","Spring","2018",4.9503264869225,4.75209282505523,-4.17811789299907,14.480504462285,"Opossum"
"235","W1","Wetland","Spring","2018",7.12095487720669,6.19014329611421,-4.92541435658403,18.7487308531686,"Opossum"
"236","W2","Wetland","Spring","2018",2.86623775862258,2.65292123329171,-2.52250836895214,8.07640669459954,"Opossum"
"237","W3","Wetland","Spring","2018",0,0,0,0,"Opossum"
"238","W4","Wetland","Spring","2018",0,0,0,0,"Opossum"
"239","W5","Wetland","Spring","2018",12.4535606007564,7.05937148826924,-1.48685261587221,26.0353005146609,"Opossum"
"240","W6","Wetland","Spring","2018",0,0,0,0,"Opossum"
"241","B1","Bottomland","Spring","2019",1.12486715020863,0.637925144655413,-0.14896169748938,2.3680899828779,"Opossum"
"242","B2","Bottomland","Spring","2019",2.22936305211086,0.933015938048662,0.312951016437626,4.14693132906553,"Opossum"
"243","B3","Bottomland","Spring","2019",1.07299052727499,0.673636780767967,-0.209462082164897,2.36034355786386,"Opossum"
"244","B4","Bottomland","Spring","2019",3.73420252101469,1.77250886568601,0.313909904582447,7.25907568335434,"Opossum"
"245","B5","Bottomland","Spring","2019",2.15763034866095,0.948114799811676,0.398913863092511,4.03384382006335,"Opossum"
"246","B6","Bottomland","Spring","2019",2.75054144212468,1.6090770392967,-0.418403285467094,5.9392295809762,"Opossum"
"247","P1","Pine","Spring","2019",0.543269074189714,0.336325838941974,-0.0972921684325458,1.21716050609136,"Opossum"
"248","P2","Pine","Spring","2019",0,0,0,0,"Opossum"
"249","P3","Pine","Spring","2019",2.35397143050141,1.08282442163808,0.210338007159081,4.46634757396441,"Opossum"
"250","P4","Pine","Spring","2019",1.1038033075291,0.461490641974608,0.20182883181619,2.00150184679941,"Opossum"
"251","P5","Pine","Spring","2019",0.568661582071225,0.340054832623652,-0.0869214629224772,1.25033196147696,"Opossum"
"252","P6","Pine","Spring","2019",2.29872386566979,1.09029935574221,0.188460612891505,4.46060921021741,"Opossum"
"253","R1","Riparian","Spring","2019",2.45968612462617,1.47180000383925,-0.430888633245809,5.26785157898333,"Opossum"
"254","R2","Riparian","Spring","2019",3.55755308992408,1.50360211474611,0.553318758395962,6.4168081838611,"Opossum"
"255","R3","Riparian","Spring","2019",4.28652270993058,1.81028866959738,0.709595000895125,7.95759666305395,"Opossum"
"256","R4","Riparian","Spring","2019",0,0,0,0,"Opossum"
"257","R5","Riparian","Spring","2019",5.29686471895786,1.88898150886198,1.38647667266942,8.79723981027307,"Opossum"
"258","R6","Riparian","Spring","2019",4.16882413219385,1.80337894404895,0.662982589383665,7.60921571775122,"Opossum"
"259","W1","Wetland","Spring","2019",0.977772127871009,0.611897264992765,-0.200965102817055,2.19735209968427,"Opossum"
"260","W2","Wetland","Spring","2019",0,0,0,0,"Opossum"
"261","W3","Wetland","Spring","2019",0,0,0,0,"Opossum"
"262","W4","Wetland","Spring","2019",0,0,0,0,"Opossum"
"263","W5","Wetland","Spring","2019",0,0,0,0,"Opossum"
