,Species,grid,habType,Sex,Season,effArea.km2
86,Raccoon,W1,W,Male,Spring,6.262230759
87,Raccoon,W2,W,Male,Fall,4.142236792
88,Raccoon,W2,W,Male,Spring,6.267691821
89,Raccoon,W3,W,Male,Fall,4.140247089
90,Raccoon,W3,W,Male,Spring,6.264681166
91,Raccoon,W4,W,Male,Fall,4.141277937
92,Raccoon,W4,W,Male,Spring,6.26624096
93,Raccoon,W5,W,Male,Fall,4.071975353
94,Raccoon,W5,W,Male,Spring,6.271893781
95,Raccoon,W6,W,Male,Fall,4.072184733
96,Raccoon,W6,W,Male,Spring,6.27221628
97,Opossum,B1,B,Female,Fall,0.687313577
98,Opossum,B1,B,Female,Spring,0.572977859
99,Opossum,B2,B,Female,Fall,0.687569711
100,Opossum,B2,B,Female,Spring,0.573191385
101,Opossum,B3,B,Female,Fall,0.687486476
102,Opossum,B3,B,Female,Spring,0.573121996
103,Opossum,B4,B,Female,Fall,0.687409293
104,Opossum,B4,B,Female,Spring,0.573057653
105,Opossum,B5,B,Female,Fall,0.687228416
106,Opossum,B5,B,Female,Spring,0.572906865
107,Opossum,B6,B,Female,Fall,0.687221324
108,Opossum,B6,B,Female,Spring,0.572900953
109,Opossum,P1,P,Female,Fall,1.370451127
110,Opossum,P1,P,Female,Spring,0.877088721
111,Opossum,P2,P,Female,Fall,1.369001067
112,Opossum,P2,P,Female,Spring,0.876160683
113,Opossum,P3,P,Female,Fall,1.368847654
114,Opossum,P3,P,Female,Spring,0.876062499
115,Opossum,P4,P,Female,Fall,1.369436845
116,Opossum,P4,P,Female,Spring,0.876439582
117,Opossum,P5,P,Female,Fall,1.370805163
118,Opossum,P5,P,Female,Spring,0.877315305
119,Opossum,P6,P,Female,Fall,1.371616213
120,Opossum,P6,P,Female,Spring,0.877834377
121,Opossum,R1,R,Female,Fall,0.944895606
122,Opossum,R1,R,Female,Spring,0.627338098
123,Opossum,R2,R,Female,Fall,0.945661903
124,Opossum,R2,R,Female,Spring,0.62784686
125,Opossum,R3,R,Female,Fall,0.945025583
126,Opossum,R3,R,Female,Spring,0.627424393
127,Opossum,R4,R,Female,Fall,0.945309545
128,Opossum,R4,R,Female,Spring,0.627612922
129,Opossum,R5,R,Female,Fall,0.945233267
130,Opossum,R5,R,Female,Spring,0.627562279
131,Opossum,R6,R,Female,Fall,0.945023389
132,Opossum,R6,R,Female,Spring,0.627422936
133,Opossum,W1,W,Female,Fall,1.872089698
134,Opossum,W1,W,Female,Spring,0.656333387
135,Opossum,W2,W,Female,Fall,1.873722279
136,Opossum,W2,W,Female,Spring,0.656905751
137,Opossum,W3,W,Female,Fall,1.872822245
138,Opossum,W3,W,Female,Spring,0.65659021
139,Opossum,W4,W,Female,Fall,1.873288545
140,Opossum,W4,W,Female,Spring,0.656753689
141,Opossum,W5,W,Female,Fall,1.874978452
142,Opossum,W5,W,Female,Spring,0.657346151
143,Opossum,W6,W,Female,Fall,1.875074863
144,Opossum,W6,W,Female,Spring,0.657379952
145,Opossum,B1,B,Male,Fall,0.748379244
146,Opossum,B1,B,Male,Spring,1.414904507
147,Opossum,B2,B,Male,Fall,0.748658136
148,Opossum,B2,B,Male,Spring,1.415431787
149,Opossum,B3,B,Male,Fall,0.748567505
150,Opossum,B3,B,Male,Spring,1.415260439
151,Opossum,B4,B,Male,Fall,0.748483464
152,Opossum,B4,B,Male,Spring,1.415101549
153,Opossum,B5,B,Male,Fall,0.748286517
154,Opossum,B5,B,Male,Spring,1.414729194
155,Opossum,B6,B,Male,Fall,0.748278795
156,Opossum,B6,B,Male,Spring,1.414714596
157,Opossum,P1,P,Male,Fall,0.747341869
158,Opossum,P1,P,Male,Spring,2.805451307
159,Opossum,P2,P,Male,Fall,0.746551115
160,Opossum,P2,P,Male,Spring,2.863075362
161,Opossum,P3,P,Male,Fall,0.746467455
162,Opossum,P3,P,Male,Spring,2.86275452
163,Opossum,P4,P,Male,Fall,0.746788756
164,Opossum,P4,P,Male,Spring,2.803374972
165,Opossum,P5,P,Male,Fall,0.747534934
166,Opossum,P5,P,Male,Spring,2.806176055
167,Opossum,P6,P,Male,Fall,0.747977221
168,Opossum,P6,P,Male,Spring,2.807836357
,Opossum,P7,P,Male,Fall,0.747977221
,Opossum,P7,P,Male,Spring,2.807836357
,Opossum,P7,P,Female,Fall,1.370805163
,Opossum,P7,P,Female,Spring,0.877315305
169,Opossum,R1,R,Male,Fall,1.72679996
170,Opossum,R1,R,Male,Spring,0.876199493
171,Opossum,R2,R,Male,Fall,1.728200368
172,Opossum,R2,R,Male,Spring,0.876910077
173,Opossum,R3,R,Male,Fall,1.727037493
174,Opossum,R3,R,Male,Spring,0.87632002
175,Opossum,R4,R,Male,Fall,1.727556434
176,Opossum,R4,R,Male,Spring,0.876583337
177,Opossum,R5,R,Male,Fall,1.727417036
178,Opossum,R5,R,Male,Spring,0.876512605
179,Opossum,R6,R,Male,Fall,1.727033482
180,Opossum,R6,R,Male,Spring,0.876317985
181,Opossum,W1,W,Male,Fall,2.074337615
182,Opossum,W1,W,Male,Spring,1.588164737
183,Opossum,W2,W,Male,Fall,2.076146569
184,Opossum,W2,W,Male,Spring,1.589549717
185,Opossum,W3,W,Male,Fall,2.075149302
186,Opossum,W3,W,Male,Spring,1.588786185
187,Opossum,W4,W,Male,Fall,2.075665977
188,Opossum,W4,W,Male,Spring,1.589181765
189,Opossum,W5,W,Male,Fall,2.07753845
190,Opossum,W5,W,Male,Spring,1.590615377
191,Opossum,W6,W,Male,Fall,2.077645277
192,Opossum,W6,W,Male,Spring,1.590697166
